"Exhibit 1. Annual global sea surface temperature anomaly, 1880–2020"
"Data source: NOAA, 2021"
"For a description of this indicator and for technical documentation, visit EPA's Report on the Environment at www.epa.gov/roe."
"Units: °F"

"Year","Annual anomaly","Upper 95% confidence interval","Lower 95% confidence interval"
"1880","-0.42","-0.211848","-0.628152"
"1881","-0.33","-0.128904","-0.531096"
"1882","-0.348","-0.150432","-0.545568"
"1883","-0.456","-0.26196","-0.65004"
"1884","-0.582","-0.373848","-0.790152"
"1885","-0.69","-0.47832","-0.90168"
"1886","-0.672","-0.467376","-0.876624"
"1887","-0.726","-0.5496","-0.9024"
"1888","-0.402","-0.250296","-0.553704"
"1889","-0.402","-0.250296","-0.553704"
"1890","-0.816","-0.678408","-0.953592"
"1891","-0.546","-0.40488","-0.68712"
"1892","-0.654","-0.505824","-0.802176"
"1893","-0.726","-0.577824","-0.874176"
"1894","-0.762","-0.610296","-0.913704"
"1895","-0.564","-0.419352","-0.708648"
"1896","-0.33","-0.178296","-0.481704"
"1897","-0.42","-0.271824","-0.568176"
"1898","-0.708","-0.563352","-0.852648"
"1899","-0.6","-0.455352","-0.744648"
"1900","-0.438","-0.275712","-0.600288"
"1901","-0.636","-0.480768","-0.791232"
"1902","-0.762","-0.627936","-0.896064"
"1903","-1.014","-0.879936","-1.148064"
"1904","-1.158","-1.027464","-1.288536"
"1905","-0.798","-0.67452","-0.92148"
"1906","-0.762","-0.613824","-0.910176"
"1907","-0.87","-0.72888","-1.01112"
"1908","-1.104","-0.969936","-1.238064"
"1909","-1.176","-1.031352","-1.320648"
"1910","-1.14","-0.98124","-1.29876"
"1911","-1.122","-0.956184","-1.287816"
"1912","-0.87","-0.6936","-1.0464"
"1913","-0.942","-0.751488","-1.132512"
"1914","-0.69","-0.485376","-0.894624"
"1915","-0.564","-0.345264","-0.782736"
"1916","-0.87","-0.647736","-1.092264"
"1917","-0.96","-0.723624","-1.196376"
"1918","-0.726","-0.503736","-0.948264"
"1919","-0.798","-0.579264","-1.016736"
"1920","-0.78","-0.582432","-0.977568"
"1921","-0.744","-0.564072","-0.923928"
"1922","-0.834","-0.664656","-1.003344"
"1923","-0.816","-0.660768","-0.971232"
"1924","-0.834","-0.682296","-0.985704"
"1925","-0.762","-0.613824","-0.910176"
"1926","-0.6","-0.455352","-0.744648"
"1927","-0.708","-0.570408","-0.845592"
"1928","-0.78","-0.642408","-0.917592"
"1929","-0.87","-0.735936","-1.004064"
"1930","-0.636","-0.501936","-0.770064"
"1931","-0.582","-0.444408","-0.719592"
