"Exhibit 3. Intensity of U.S. energy consumption, 1949-2017"
"Data source: BEA, 2018; EIA, 2018; U.S. Census Bureau, 2000, 2001, 2011, 2018"
"For a description of this indicator and for technical documentation, visit EPA's Report on the Environment at www.epa.gov/roe."
"Units: index value (1949 = 1)"

"Year","U.S. GDP","Total energy use","U.S. population","Energy use per capita","Energy use per dollar GDP"
"1949","1","1","1","1","1"
"1950","1.086822368","1.082368393","1.020667107","1.060451920","0.995901837"
"1951","1.174309314","1.156106703","1.038138148","1.113634737","0.984499305"
"1952","1.222301339","1.149033709","1.056067530","1.088030524","0.940057637"
"1953","1.279597456","1.177695370","1.073706011","1.096850867","0.920363951"
"1954","1.272192158","1.145642905","1.092753519","1.048400106","0.900526621"
"1955","1.362954524","1.257225810","1.112227910","1.130367075","0.922426822"
"1956","1.392006076","1.305575038","1.132147920","1.153184152","0.937909008"
"1957","1.421294978","1.306604821","1.152800360","1.133418123","0.919305873"
"1958","1.410804139","1.302159814","1.172223983","1.110845566","0.922991206"
"1959","1.508686984","1.359089409","1.191982418","1.140192496","0.900842536"
"1960","1.547517326","1.409766608","1.211029041","1.164106359","0.910985993"
"1961","1.587154657","1.430134068","1.231274103","1.161507470","0.901067872"
"1962","1.684420393","1.495440568","1.250352404","1.196015270","0.887807209"
"1963","1.757761322","1.552278359","1.268477579","1.223733383","0.883099622"
"1964","1.859061996","1.620148622","1.286220231","1.259619918","0.871487140"
"1965","1.979872781","1.688945044","1.302402296","1.296792128","0.853057358"
"1966","2.110462356","1.782728348","1.317533359","1.353080236","0.844709853"
"1967","2.168328112","1.841830917","1.331956209","1.382801405","0.849424452"
"1968","2.274897940","1.951581419","1.345321856","1.450642766","0.857876472"
"1969","2.346007785","2.051624028","1.358532653","1.510176457","0.874517144"
"1970","2.350375012","2.121173761","1.374453678","1.543285012","0.902483115"
"1971","2.427750878","2.166341057","1.391938333","1.556348442","0.892324281"
"1972","2.555444793","2.272809599","1.406921724","1.615448508","0.889398826"
"1973","2.699705687","2.366483214","1.420413192","1.666052686","0.876570815"
"1974","2.685132441","2.312660821","1.433451361","1.613351443","0.861283707"
"1975","2.679578468","2.250192963","1.447656720","1.554369162","0.839756324"
"1976","2.823981772","2.375586476","1.461477961","1.625468560","0.841218771"
"1977","2.954571347","2.437700630","1.476253004","1.651275644","0.825060675"
"1978","3.118105003","2.499895205","1.491972217","1.675564181","0.801735414"
"1979","3.216842305","2.528292182","1.508534808","1.675991942","0.785954654"
"1980","3.208582550","2.440994346","1.523074798","1.602675291","0.760770311"
"1981","3.289993354","2.379681030","1.538096322","1.547159951","0.723308765"
"1982","3.230703503","2.285670720","1.552834384","1.471934640","0.707483902"
"1983","3.378761986","2.281649052","1.567095144","1.455973533","0.675291441"
"1984","3.623279218","2.396125692","1.580721616","1.515842933","0.661314116"
"1985","3.774375771","2.388642741","1.594790383","1.497778496","0.632857693"
"1986","3.905060287","2.396604218","1.609597808","1.488946001","0.613717598"
"1987","4.040159499","2.471880574","1.624049567","1.522047494","0.611827472"
"1988","4.208914839","2.586156504","1.638863507","1.578018238","0.614447335"
"1989","4.363476692","2.651073810","1.654416005","1.602422729","0.607559980"
"1990","4.445789424","2.641669249","1.673208277","1.578804793","0.594195765"
"1991","4.440994968","2.640189143","1.695717622","1.556974528","0.594503971"
"1992","4.597408146","2.682243108","1.719401027","1.559986917","0.583425057"
"1993","4.723962784","2.731751694","1.742220296","1.567971456","0.578275448"
"1994","4.914269439","2.785589564","1.763718206","1.579384708","0.566836963"
"1995","5.046188171","2.846351780","1.784849726","1.594729090","0.564059778"
"1996","5.236589765","2.939840820","1.805735376","1.628057388","0.561403690"
"1997","5.469429412","2.957970456","1.827537653","1.618555136","0.540818837"
"1998","5.714563752","2.971021656","1.849035201","1.606795616","0.519903493"
"1999","5.986186272","3.022009066","1.870391217","1.615709611","0.504830443"
"2000","6.233266876","3.089803034","1.891319443","1.633675921","0.495695611"
"2001","6.295499858","3.007040320","1.910131557","1.574258228","0.477649176"
"2002","6.405155226","3.053123488","1.927936177","1.583622697","0.476666588"
"2003","6.588388873","3.061691754","1.944577849","1.574476308","0.464710237"
"2004","6.838697427","3.129612201","1.962658142","1.594578360","0.457632793"
"2005","7.078942372","3.132677066","1.980831846","1.581495710","0.442534619"
"2006","7.281069021","3.110688388","2.000024479","1.555325157","0.427229625"
"2007","7.417639799","3.158536764","2.019136556","1.564300718","0.425814255"
"2008","7.407528719","3.092123438","2.038325475","1.516991999","0.417429828"
"2009","7.219595557","2.942876512","2.056273036","1.431170112","0.407623459"
"2010","7.404727998","3.051140436","2.073478775","1.471507918","0.412053007"
"2011","7.519557581","3.032253550","2.088934823","1.451578822","0.403248930"
"2012","7.688692680","2.955926618","2.104679990","1.404454184","0.384451134"
"2013","7.830342732","3.043648105","2.119702854","1.435884326","0.388699219"
"2014","8.022310833","3.079613269","2.135709624","1.441962538","0.383881070"
"2015","8.253441565","3.049451241","2.151912749","1.417088700","0.369476323"
"2016","8.382796924","3.051198657","2.167772563","1.407527113","0.363983368"
"2017","8.568641413","3.055997306","2.183278107","1.399728828","0.356648990"
