"Country or Territory","Station Name","WMO Station Number","National Station Id Number","Period","Element-Statistic Qualifier Code","Statistic Description","Unit","Jan","Jan Footnotes","Feb","Feb Footnotes","Mar","Mar Footnotes","Apr","Apr Footnotes","May","May Footnotes","Jun","Jun Footnotes","Jul","Jul Footnotes","Aug","Aug Footnotes","Sep","Sep Footnotes","Oct","Oct Footnotes","Nov","Nov Footnotes","Dec","Dec Footnotes","Annual","Annual Footnotes","Annual NCDC Computed Value","Annual NCDC Computed Value Footnotes"
"CANADA","CHURCHILL A , MB","71913","05060600","1964-1991","","Mean Daily Value","MJ/m2","2.146","","5.588","","11.832","","18.127","","20.040","","21.461","","20.146","","15.579","","8.671","","4.158","","2.309","","1.422","","10.956","","-9999.9","1"
"CANADA","CHURCHILL A , MB","71913","05060600","1964-1991","","Number of Years used to Calculate Normal","MJ/m2","23","","22","","21","","22","","23","","24","","24","","23","","24","","24","","25","","24","","-9999","1","-9999.9","1"
"CANADA","CORAL HARBOUR A , NT","71915","02301000","1970-1991","","Mean Daily Value","MJ/m2","0.821","","3.507","","9.730","","-9999.9","1","-9999.9","1","23.069","","18.993","","13.149","","8.090","","-9999.9","1","1.247","","0.345","","10.353","","-9999.9","1"
"CANADA","CORAL HARBOUR A , NT","71915","02301000","1970-1991","","Number of Years used to Calculate Normal","MJ/m2","20","","20","","20","","19","","19","","21","","21","","21","","21","","19","","20","","21","","-9999","1","-9999.9","1"
"CANADA","EUREKA , NT","71917","02401200","1964-1991","","Mean Daily Value","MJ/m2","-9999.9","1","0.049","","-9999.9","1","11.930","","23.264","","24.820","","19.241","","10.675","","3.934","","0.401","","-9999.9","1","-9999.9","1","8.087","","-9999.9","1"
"CANADA","EUREKA , NT","71917","02401200","1964-1991","","Number of Years used to Calculate Normal","MJ/m2","18","","21","","18","","21","","21","","21","","21","","22","","21","","20","","17","","17","","-9999","1","-9999.9","1"
"CANADA","RESOLUTE A , NT","71924","02403500","1957-1991","","Mean Daily Value","MJ/m2","0.000","","0.635","","5.031","","14.227","","22.785","","24.023","","18.602","","10.866","","5.144","","1.267","","0.020","","0.000","","8.550","","-9999.9","1"
"CANADA","RESOLUTE A , NT","71924","02403500","1957-1991","","Number of Years used to Calculate Normal","MJ/m2","29","","28","","29","","29","","28","","28","","30","","30","","30","","30","","30","","30","","-9999","1","-9999.9","1"
"CANADA","WHITEHORSE A , YT","71964","02101300","1970-1991","","Mean Daily Value","MJ/m2","1.253","","3.817","","9.091","","-9999.9","1","19.013","","-9999.9","1","18.851","","14.932","","9.034","","4.254","","1.590","","0.693","","9.920","","-9999.9","1"
"CANADA","WHITEHORSE A , YT","71964","02101300","1970-1991","","Number of Years used to Calculate Normal","MJ/m2","20","","20","","20","","19","","20","","19","","21","","21","","21","","21","","21","","21","","-9999","1","-9999.9","1"
"CANADA","SWIFT CURRENT CDA , SK","71000","04028060","1960-1991","","Mean Daily Value","MJ/m2","4.953","","8.578","","13.546","","18.010","","21.262","","23.393","","24.240","","20.193","","14.042","","9.292","","5.189","","3.782","","13.873","","-9999.9","1"
"CANADA","SWIFT CURRENT CDA , SK","71000","04028060","1960-1991","","Number of Years used to Calculate Normal","MJ/m2","30","","30","","30","","30","","30","","30","","30","","29","","29","","30","","30","","30","","-9999","1","-9999.9","1"
"CANADA","FREDERICTON CDA , NB","71000","08101600","1960-1989","","Mean Daily Value","MJ/m2","5.505","","8.684","","12.397","","15.162","","17.984","","19.894","","19.740","","17.214","","13.199","","8.661","","4.981","","4.175","","12.300","","-9999.9","1"
"CANADA","FREDERICTON CDA , NB","71000","08101600","1960-1989","","Number of Years used to Calculate Normal","MJ/m2","29","","29","","29","","29","","29","","28","","28","","28","","29","","29","","29","","29","","-9999","1","-9999.9","1"
"CANADA","CHARLOTTETOWN CDA , PE","71000","08300400","1971-1991","","Mean Daily Value","MJ/m2","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","18.443","","20.775","","20.498","","17.591","","13.245","","8.077","","4.599","","3.825","","12.443","","-9999.9","1"
"CANADA","CHARLOTTETOWN CDA , PE","71000","08300400","1971-1991","","Number of Years used to Calculate Normal","MJ/m2","19","","19","","19","","19","","20","","20","","20","","20","","20","","20","","20","","20","","-9999","1","-9999.9","1"
"CANADA","ST JOHN'S WEST CDA , NF","71000","08403600","1964-1991","","Mean Daily Value","MJ/m2","4.072","","6.904","","10.451","","13.585","","16.413","","18.960","","19.677","","15.798","","12.014","","6.977","","4.145","","3.083","","11.007","","-9999.9","1"
"CANADA","ST JOHN'S WEST CDA , NF","71000","08403600","1964-1991","","Number of Years used to Calculate Normal","MJ/m2","26","","26","","26","","26","","26","","26","","27","","27","","26","","27","","26","","27","","-9999","1","-9999.9","1"
"CANADA","MOULD BAY A , NT","71072","02502700","1965-1991","","Mean Daily Value","MJ/m2","0.000","","0.317","","3.966","","13.402","","21.816","","23.080","","17.104","","9.511","","4.601","","0.825","","0.004","","0.000","","7.886","","-9999.9","1"
"CANADA","MOULD BAY A , NT","71072","02502700","1965-1991","","Number of Years used to Calculate Normal","MJ/m2","24","","24","","26","","26","","26","","25","","26","","26","","26","","26","","25","","21","","-9999","1","-9999.9","1"
"CANADA","HALL BEACH A , NT","71081","02402350","1970-1991","","Mean Daily Value","MJ/m2","0.128","","-9999.9","1","-9999.9","1","16.061","","-9999.9","1","-9999.9","1","19.750","","12.648","","6.395","","2.400","","0.404","","0.003","","9.437","","-9999.9","1"
"CANADA","HALL BEACH A , NT","71081","02402350","1970-1991","","Number of Years used to Calculate Normal","MJ/m2","20","","19","","19","","20","","19","","19","","20","","20","","21","","21","","20","","21","","-9999","1","-9999.9","1"
"CANADA","ALERT , NT","71082","02400300","1964-1991","","Mean Daily Value","MJ/m2","0.000","","0.007","","2.057","","11.678","","23.099","","24.500","","18.518","","10.728","","3.622","","0.175","","0.000","","0.000","","7.865","","-9999.9","1"
"CANADA","ALERT , NT","71082","02400300","1964-1991","","Number of Years used to Calculate Normal","MJ/m2","26","","25","","24","","25","","25","","26","","27","","27","","27","","24","","26","","25","","-9999","1","-9999.9","1"
