"Country or Area","Year","Value"
"Australia","2020","528149.456399617"
"Australia","2019","546606.624341056"
"Australia","2018","552484.024716441"
"Australia","2017","550874.867938502"
"Australia","2016","543976.812336764"
"Australia","2015","534936.016961654"
"Australia","2014","526711.779998652"
"Australia","2013","532267.334867726"
"Australia","2012","541899.740302483"
"Australia","2011","538663.87777036"
"Australia","2010","536893.737804177"
"Australia","2009","541475.792467023"
"Australia","2008","538590.714122566"
"Australia","2007","535807.551620325"
"Australia","2006","529240.641214476"
"Australia","2005","524811.845283562"
"Australia","2004","518408.437662019"
"Australia","2003","501128.976318902"
"Australia","2002","501000.842687318"
"Australia","2001","497352.025386861"
"Australia","2000","489528.649319222"
"Australia","1999","478136.874727016"
"Australia","1998","472145.831804056"
"Australia","1997","457864.510418591"
"Australia","1996","445847.225288782"
"Australia","1995","439269.877862795"
"Australia","1994","430848.497956106"
"Australia","1993","430381.730656997"
"Australia","1992","429473.084679731"
"Australia","1991","425686.444956654"
"Australia","1990","425624.307017106"
"Austria","2021","77532.3511799922"
"Austria","2020","73910.8426787676"
"Austria","2019","79994.1376400622"
"Austria","2018","78854.3749245888"
"Austria","2017","82132.4922561807"
"Austria","2016","79821.2639678851"
"Austria","2015","78884.4645625268"
"Austria","2014","76662.6617852742"
"Austria","2013","80228.5178317023"
"Austria","2012","79788.3247197534"
"Austria","2011","82505.7561688446"
"Austria","2010","84693.2925580718"
"Austria","2009","80137.0314632864"
"Austria","2008","86770.8186737982"
"Austria","2007","87377.9509082161"
"Austria","2006","90158.6668530109"
"Austria","2005","92588.5796542336"
"Austria","2004","91427.8960518719"
"Austria","2003","91636.3033581774"
"Austria","2002","86267.5384679073"
"Austria","2001","84514.0472889202"
"Austria","2000","80619.3618583405"
"Austria","1999","80455.150260117"
"Austria","1998","82012.9004003456"
"Austria","1997","82719.6270880266"
"Austria","1996","83112.9271976451"
"Austria","1995","79953.2379225736"
"Austria","1994","76725.9665608623"
"Austria","1993","76517.8640177097"
"Austria","1992","76142.8090663892"
"Austria","1991","82711.1564135882"
"Austria","1990","79047.2317550991"
"Belarus","2021","91988.2016909786"
"Belarus","2020","89940.2770629011"
"Belarus","2019","92291.6329792469"
"Belarus","2018","92202.4064463779"
"Belarus","2017","89247.5958756475"
"Belarus","2016","87563.3041777217"
"Belarus","2015","88307.4556571981"
"Belarus","2014","93371.4442069786"
"Belarus","2013","94456.4108012947"
"Belarus","2012","92432.6074603941"
"Belarus","2011","91314.4677948332"
"Belarus","2010","91884.2687026599"
"Belarus","2009","89716.1056765984"
"Belarus","2008","91672.8197139763"
