"Country or Area","Year","Value"
"Bulgaria","2021","53985.3385255025"
"Bulgaria","2020","48044.8997264786"
"Bulgaria","2019","54010.2563739884"
"Bulgaria","2018","55430.0385217763"
"Bulgaria","2017","59789.1578377935"
"Bulgaria","2016","57847.1363998934"
"Bulgaria","2015","60493.7604571174"
"Bulgaria","2014","57601.7760527337"
"Bulgaria","2013","54527.7458587035"
"Bulgaria","2012","59748.1586528068"
"Bulgaria","2011","64801.7312027005"
"Bulgaria","2010","59456.8527603264"
"Bulgaria","2009","56833.9497110045"
"Bulgaria","2008","65700.2921958791"
"Bulgaria","2007","67082.9591429564"
"Bulgaria","2006","63166.4144471642"
"Bulgaria","2005","62443.5790121613"
"Bulgaria","2004","61842.0787823199"
"Bulgaria","2003","62741.4908586471"
"Bulgaria","2002","57800.129220979"
"Bulgaria","2001","60350.0994746802"
"Bulgaria","2000","57463.3534446965"
"Bulgaria","1999","58360.1160976335"
"Bulgaria","1998","65441.7426977946"
"Bulgaria","1997","69473.7255325932"
"Bulgaria","1996","72682.2850340446"
"Bulgaria","1995","72236.4354760399"
"Bulgaria","1994","70669.1974823073"
"Bulgaria","1993","74753.3910253275"
"Bulgaria","1992","75413.1375945648"
"Bulgaria","1991","80931.6356503918"
"Bulgaria","1990","98999.5574466745"
"Cyprus","2021","8675.23043813343"
"Cyprus","2020","8508.01882775089"
"Cyprus","2019","8896.58595255438"
"Cyprus","2018","8826.24618151655"
"Cyprus","2017","8971.32973170521"
"Cyprus","2016","8794.05201939741"
"Cyprus","2015","8347.08037279353"
"Cyprus","2014","8298.26267567374"
"Cyprus","2013","7923.91547957017"
"Cyprus","2012","8629.3411976468"
"Cyprus","2011","9163.34037685497"
"Cyprus","2010","9469.00375329316"
"Cyprus","2009","9803.60794715473"
"Cyprus","2008","10041.0190859939"
"Cyprus","2007","9821.80992239109"
"Cyprus","2006","9488.16895507554"
"Cyprus","2005","9238.55557641521"
"Cyprus","2004","9091.27334604947"
"Cyprus","2003","8885.19685849413"
"Cyprus","2002","8491.52689085294"
"Cyprus","2001","8254.90081894943"
"Cyprus","2000","8314.04517319378"
"Cyprus","1999","8039.93007093613"
"Cyprus","1998","7760.6949617012"
"Cyprus","1997","7444.9447332959"
"Cyprus","1996","7351.00810248227"
"Cyprus","1995","6978.05545491878"
"Cyprus","1994","7062.52049007575"
"Cyprus","1993","6805.31102392536"
"Cyprus","1992","6518.41396447651"
"Cyprus","1991","6080.87324153024"
"Cyprus","1990","5576.93681168549"
"Czechia","2021","119035.638715618"
"Czechia","2020","113719.517794109"
"Czechia","2019","124109.591182905"
"Czechia","2018","129889.8533133"
"Czechia","2017","131682.835299064"
"Czechia","2016","130878.000560779"
"Czechia","2015","129312.279083979"
"Czechia","2014","127913.14047738"
"Czechia","2013","130079.364190734"
"Czechia","2012","135533.900152863"
"Czechia","2011","139535.683298706"
"Czechia","2010","141156.005341876"
"Czechia","2009","138263.063630286"
"Czechia","2008","147860.740317177"
"Czechia","2007","152951.018763339"
"Czechia","2006","151340.225797671"
"Czechia","2005","150064.009636597"
"Czechia","2004","152090.418887341"
"Czechia","2003","151274.670088643"
"Czechia","2002","148107.8679702"
"Czechia","2001","151937.439592144"
"Czechia","2000","152392.438981916"
"Czechia","1999","142387.887204041"
"Czechia","1998","152468.537119514"
"Czechia","1997","158687.398290092"
"Czechia","1996","163237.278668906"
"Czechia","1995","159914.112058229"
"Czechia","1994","160994.996193535"
"Czechia","1993","169978.91857594"
"Czechia","1992","176672.607377963"
"Czechia","1991","182629.007092437"
"Czechia","1990","200727.483928154"
"Denmark","2021","45761.0013458001"
"Denmark","2020","44725.3437103079"
"Denmark","2019","47214.1419456564"
"Denmark","2018","51012.1526561559"
"Denmark","2017","51074.160684882"
"Denmark","2016","53212.2719130726"
"Denmark","2015","51152.7388733715"
"Denmark","2014","53941.5597800498"
"Denmark","2013","58143.8736633878"
"Denmark","2012","56446.1947321725"
"Denmark","2011","61079.467179679"
"Denmark","2010","66348.390762322"
"Denmark","2009","66055.995436626"
"Denmark","2008","68866.3528865248"
"Denmark","2007","72483.5893412328"
"Denmark","2006","77144.3813287459"
"Denmark","2005","69433.9206874275"
"Denmark","2004","73772.9394504835"
"Denmark","2003","79755.2867336954"
"Denmark","2002","74641.5422610406"
"Denmark","2001","75213.2927539156"
"Denmark","2000","73501.2250685507"
"Denmark","1999","77716.82903883"
"Denmark","1998","80409.8556170316"
"Denmark","1997","84395.1597026869"
"Denmark","1996","93986.4032773085"
"Denmark","1995","80807.9988740188"
"Denmark","1994","83681.1998029034"
"Denmark","1993","79795.8823230054"
"Denmark","1992","77659.5921899124"
"Denmark","1991","83604.4071192862"
"Denmark","1990","72940.9913082427"
"European Union","2021","3471700.311817"
"European Union","2020","3303600.54329228"
"European Union","2019","3591293.6253531"
"European Union","2018","3750770.81015843"
"European Union","2017","3836066.44659652"
"European Union","2016","3814693.57230312"
"European Union","2015","3812415.62585652"
"European Union","2014","3767739.32618248"
"European Union","2013","3908576.75698441"
"European Union","2012","3995310.05733571"
"European Union","2011","4069866.1357657"
"European Union","2010","4180741.67268186"
"European Union","2009","4092959.2897481"
"European Union","2008","4408412.25575369"
"European Union","2007","4502767.65156946"
"European Union","2006","4538039.03394451"
"European Union","2005","4541881.89834786"
"European Union","2004","4568722.10311894"
"European Union","2003","4566353.96585343"
"European Union","2002","4485727.99168587"
"European Union","2001","4500256.33936492"
"European Union","2000","4452021.62429543"
"European Union","1999","4464183.33890091"
"European Union","1998","4540461.70645991"
"European Union","1997","4579674.03965868"
"European Union","1996","4650978.34251638"
"European Union","1995","4560147.85956455"
"European Union","1994","4509714.05572418"
"European Union","1993","4533165.14753016"
"European Union","1992","4611658.68218854"
"European Union","1991","4761867.85835277"
"European Union","1990","4866997.59775075"
"Finland","2021","47856.0524590425"
"Finland","2020","47822.2291139538"
"Finland","2019","52779.4426851836"
"Finland","2018","56003.2721814818"
"Finland","2017","55084.2461951353"
"Finland","2016","57888.4964960182"
"Finland","2015","55064.1761560255"
"Finland","2014","58575.8691084699"
"Finland","2013","62760.6717911185"
"Finland","2012","62317.555286501"
"Finland","2011","67883.2198059778"
"Finland","2010","75625.8278799718"
"Finland","2009","67764.7695485361"
"Finland","2008","71389.8983547647"
"Finland","2007","79529.9496439403"
"Finland","2006","81201.519275956"
"Finland","2005","69792.8036058287"
"Finland","2004","81834.6496220179"
"Finland","2003","85588.4809542991"
"Finland","2002","77983.9781706819"
"Finland","2001","75582.7376077119"
"Finland","2000","70244.9068547617"
"Finland","1999","72158.5749174246"
"Finland","1998","72842.2544799953"
"Finland","1997","76527.5624890878"
"Finland","1996","77848.9209132258"
"Finland","1995","71877.0652650056"
"Finland","1994","75635.1548480631"
"Finland","1993","70058.4840016732"
"Finland","1992","67831.2302372143"
"Finland","1991","69197.1952522843"
"Finland","1990","71254.0985658935"
"France","2021","421077.313913464"
"France","2020","399196.904803903"
"France","2019","438467.012295634"
"France","2018","447907.209012999"
"France","2017","466153.168081026"
"France","2016","463485.053226157"
"France","2015","461134.636256296"
"France","2014","457690.628859187"
"France","2013","488814.149754449"
"France","2012","489106.249342352"
"France","2011","487270.686117932"
"France","2010","512178.510297857"
"France","2009","507813.510458683"
"France","2008","529153.340492366"
"France","2007","534696.385046011"
"France","2006","544542.278454954"
"France","2005","555173.237098831"
"France","2004","553496.667038031"
"France","2003","553944.844007985"
"France","2002","549694.025683827"
"France","2001","555770.210888986"
"France","2000","550260.380824694"
"France","1999","555854.190246371"
"France","1998","560815.717325253"
"France","1997","546448.177517097"
"France","1996","554024.325388745"
"France","1995","535688.545982701"
"France","1994","529594.423219373"
"France","1993","537749.134630898"
"France","1992","558874.667995712"
"France","1991","568514.884564135"
"France","1990","542501.841152196"
"Japan","2021","1169966.13434233"
"Japan","2020","1146799.17969423"
"Japan","2019","1209748.75888633"
"Japan","2018","1244778.81844425"
"Japan","2017","1288847.60008092"
"Japan","2016","1302294.00385233"
"Japan","2015","1320021.27888262"
"Japan","2014","1358719.03871153"
"Japan","2013","1407629.47229939"
"Japan","2012","1395866.41835961"
"Japan","2011","1353083.8791661"
"Japan","2010","1302476.78503857"
"Japan","2009","1249050.97023609"
"Japan","2008","1321218.34254556"
"Japan","2007","1394309.42216722"
"Japan","2006","1359241.83839794"
"Japan","2005","1380703.88249325"
"Japan","2004","1373165.31686902"
"Japan","2003","1381864.31123557"
"Japan","2002","1375166.4228988"
"Japan","2001","1351355.7897589"
"Japan","2000","1377536.17131445"
"Japan","1999","1357824.09060097"
"Japan","1998","1334471.05065373"
"Japan","1997","1383356.92637536"
"Japan","1996","1391465.47589065"
"Japan","1995","1378501.68009988"
"Japan","1994","1357211.62500886"
"Japan","1993","1296183.46680024"
"Japan","1992","1300636.62501495"
"Japan","1991","1289097.86290837"
"Japan","1990","1274815.54202668"
"Latvia","2021","10738.1187421114"
"Latvia","2020","10496.243293863"
"Latvia","2019","11144.5417341574"
"Latvia","2018","11284.1340069969"
"Latvia","2017","10795.2243286253"
"Latvia","2016","10759.8788032026"
"Latvia","2015","10761.8240818575"
"Latvia","2014","10733.1566559305"
"Latvia","2013","10815.9235978314"
"Latvia","2012","10896.9451474957"
"Latvia","2011","11077.239932357"
"Latvia","2010","11874.1533951024"
"Latvia","2009","10807.480504734"
"Latvia","2008","11493.254268848"
"Latvia","2007","11954.288680061"
"Latvia","2006","11506.0040908402"
"Latvia","2005","11041.7220215894"
"Latvia","2004","10882.1751539054"
"Latvia","2003","10941.0441628562"
"Latvia","2002","10752.9920555417"
"Latvia","2001","10784.2041805366"
"Latvia","2000","10192.5663838414"
"Latvia","1999","10817.0791459993"
"Latvia","1998","11603.7776956352"
"Latvia","1997","12109.3393985146"
"Latvia","1996","12670.1028723996"
"Latvia","1995","12621.8658185244"
"Latvia","1994","13991.2934954762"
"Latvia","1993","15938.9516161131"
"Latvia","1992","19397.5564939799"
"Latvia","1991","24171.1278879159"
