"Country or Area","Year","Value"
"Australia","2020","11564.3875315886"
"Australia","2019","11285.3103255569"
"Australia","2018","10443.9463804196"
"Australia","2017","10476.3415614427"
"Australia","2016","10248.9823086957"
"Australia","2015","9844.64205325769"
"Australia","2014","9293.00099755006"
"Australia","2013","8566.91307950701"
"Australia","2012","8207.61740624672"
"Australia","2011","7817.91760310685"
"Australia","2010","7070.97275393972"
"Australia","2009","6446.18693658071"
"Australia","2008","5568.86334972443"
"Australia","2007","4957.94183953939"
"Australia","2006","4271.69971448926"
"Australia","2005","3859.00872271506"
"Australia","2004","3185.09900031307"
"Australia","2003","2647.35431755219"
"Australia","2002","2112.14652059314"
"Australia","2001","1685.15650770761"
"Australia","2000","1252.65710130975"
"Australia","1999","985.274631867224"
"Australia","1998","660.920603864741"
"Australia","1997","464.72504957274"
"Australia","1996","278.039529290483"
"Australia","1995","1018.65477684092"
"Australia","1994","1028.12333203718"
"Australia","1993","1829.872"
"Australia","1992","1333.184"
"Australia","1991","1424.68352"
"Australia","1990","1424.68352"
"Austria","2021","1485.82333363034"
"Austria","2020","1704.9654089292"
"Austria","2019","1801.57138410377"
"Austria","2018","1945.84965785008"
"Austria","2017","1892.29297997313"
"Austria","2016","1884.44296600507"
"Austria","2015","1896.85838818478"
"Austria","2014","1787.23540955729"
"Austria","2013","1689.19592533508"
"Austria","2012","1599.07398070785"
"Austria","2011","1517.98154646777"
"Austria","2010","1425.57472335797"
"Austria","2009","1311.31376711018"
"Austria","2008","1207.52649959857"
"Austria","2007","1161.81726147617"
"Austria","2006","1112.88083972931"
"Austria","2005","1103.51630807532"
"Austria","2004","1095.00157301946"
"Austria","2003","1026.65291234555"
"Austria","2002","957.242589382437"
"Austria","2001","808.335124541953"
"Austria","2000","676.688295501741"
"Austria","1999","656.280883576227"
"Austria","1998","564.813118775743"
"Austria","1997","473.116945916785"
"Austria","1996","390.648387707994"
"Austria","1995","324.028215917346"
"Austria","1994","236.910223177867"
"Austria","1993","214.874047015042"
"Austria","1992","4.7185379877002"
"Austria","1991","3.25872"
"Austria","1990","2.04228"
"Belarus","2021","208.962636965765"
"Belarus","2020","200.983288509603"
"Belarus","2019","191.013619144468"
"Belarus","2018","187.162413503014"
"Belarus","2017","179.01650835958"
"Belarus","2016","172.383674933972"
"Belarus","2015","164.421870722719"
"Belarus","2014","146.730891892745"
"Belarus","2013","125.710308045944"
"Belarus","2012","113.040559204439"
"Belarus","2011","89.8816930652739"
"Belarus","2010","80.6339305117989"
"Belarus","2009","65.2659213591289"
"Belarus","2008","53.1248379812489"
"Belarus","2007","45.8702725374289"
"Belarus","2006","37.8984476689909"
"Belarus","2005","33.7942120199449"
"Belarus","2004","29.1449901723952"
"Belarus","2003","19.8237158712564"
"Belarus","2002","16.4126478782707"
"Belarus","2001","13.2181120515818"
"Belarus","2000","9.12683176598975"
"Belarus","1999","5.38084889487095"
"Belarus","1998","5.0432459947537"
"Belarus","1997","4.61523507243"
"Belarus","1996","4.279706641038"
"Belarus","1995","3.884244938319"
"Belgium","2021","2397.30367250546"
"Belgium","2020","3111.95679380198"
"Belgium","2019","3701.94920047716"
"Belgium","2018","4206.09463374671"
"Belgium","2017","4072.86231624011"
"Belgium","2016","3775.26860468285"
"Belgium","2015","3795.65163356018"
"Belgium","2014","3686.90891147626"
"Belgium","2013","3452.04142012382"
"Belgium","2012","3389.48353331818"
"Belgium","2011","3370.04493675349"
"Belgium","2010","3015.44485970761"
"Belgium","2009","2731.87416871449"
"Belgium","2008","2833.57394537139"
"Belgium","2007","2838.17969564068"
"Belgium","2006","2469.18562203251"
"Belgium","2005","2365.3276518809"
"Belgium","2004","1672.82044641238"
"Belgium","2003","1587.66818020495"
"Belgium","2002","1401.01906664452"
"Belgium","2001","1172.25297372862"
"Belgium","2000","1088.73111209743"
"Belgium","1999","887.947546016962"
"Belgium","1998","813.745906853522"
"Belgium","1997","657.925988541225"
"Belgium","1996","539.269430318571"
"Belgium","1995","449.340121703525"
"Belgium","1994","387.825606878927"
"Belgium","1993","368.863818655951"
"Belgium","1992","362.353867801761"
"Bulgaria","2021","739.422816164572"
"Bulgaria","2020","789.766469864273"
"Bulgaria","2019","801.65383795148"
"Bulgaria","2018","717.308128616299"
"Bulgaria","2017","712.718033546612"
"Bulgaria","2016","714.251792075083"
"Bulgaria","2015","693.573073407392"
"Bulgaria","2014","889.00578442389"
"Bulgaria","2013","727.625041253165"
"Bulgaria","2012","502.029904450307"
"Bulgaria","2011","473.862400528362"
"Bulgaria","2010","414.998867142926"
"Bulgaria","2009","418.13379716957"
"Bulgaria","2008","425.743730528313"
"Bulgaria","2007","282.335374477377"
"Bulgaria","2006","245.384767628133"
"Bulgaria","2005","166.323203692747"
"Bulgaria","2004","104.741192427117"
"Bulgaria","2003","77.9715163568108"
"Bulgaria","2002","60.9825930184372"
"Bulgaria","2001","46.2271244530878"
"Bulgaria","2000","32.6920301617908"
"Bulgaria","1999","19.672482323763"
"Bulgaria","1998","12.7194421481944"
"Bulgaria","1997","8.44277849691622"
"Bulgaria","1996","5.31400560627705"
"Bulgaria","1995","3.02608617434007"
"Bulgaria","1994","0.99706864828493"
"Bulgaria","1993","0.02094275655459"
"Bulgaria","1992","0.00971063847"
"Bulgaria","1991","0.00285051"
"Canada","2021","11433.4129129798"
"Canada","2020","11918.8519747354"
"Canada","2019","12111.0736946586"
"Canada","2018","12153.4997456952"
"Canada","2017","11097.4276044012"
"Canada","2016","11305.1600230089"
"Canada","2015","11041.0470989509"
"Canada","2014","10950.2136628768"
"Canada","2013","10075.0982028364"
"Canada","2012","9084.09011205681"
"Canada","2011","8592.51357923876"
"Canada","2010","7729.05363577473"
"Canada","2009","6909.97109869936"
"Canada","2008","6135.67115116636"
"Canada","2007","6077.57252813593"
"Canada","2006","5391.07606666372"
"Canada","2005","5107.03344257297"
"Canada","2004","4584.77356780635"
"Canada","2003","3979.85765304976"
"Canada","2002","3607.06766099863"
"Canada","2001","3159.2956287521"
"Canada","2000","2754.84203983593"
"Canada","1999","2160.36452105141"
"Canada","1998","1620.11150727323"
"Canada","1997","1122.30349100694"
"Canada","1996","810.62495471848"
"Canada","1995","460.505097239537"
"Canada","1992","829.7768"
"Canada","1991","1056.6608"
"Canada","1990","970.540192"
"Croatia","2021","1699.28404317094"
"Croatia","2020","1574.63166625324"
"Croatia","2019","1470.23062961122"
"Croatia","2018","1356.03481042867"
"Croatia","2017","1229.01876842784"
"Croatia","2016","1083.59174918372"
"Croatia","2015","948.11791692388"
"Croatia","2014","854.196243541472"
"Croatia","2013","768.70036128603"
"Croatia","2012","703.057631482102"
"Croatia","2011","629.733329781799"
"Croatia","2010","567.72953183097"
"Croatia","2009","473.66516822904"
"Croatia","2008","392.175875966404"
"Croatia","2007","321.41743175757"
"Croatia","2006","244.72099198255"
"Croatia","2005","189.0633225642"
"Croatia","2004","130.152403176896"
"Croatia","2003","108.84825700847"
"Croatia","2002","82.58193365207"
"Croatia","2001","62.000650657928"
"Croatia","2000","50.760640434686"
"Croatia","1999","42.050377199298"
"Croatia","1998","34.809401403933"
"Croatia","1997","28.997372481543"
"Croatia","1996","24.781040209783"
"Croatia","1995","21.664058665393"
"Cyprus","2021","353.487646622074"
"Cyprus","2020","335.683897225151"
"Cyprus","2019","332.265374089774"
"Cyprus","2018","308.052119909632"
"Cyprus","2017","287.912005880538"
"Cyprus","2016","267.016369528783"
"Cyprus","2015","246.654110429218"
"Cyprus","2014","233.180223140078"
"Cyprus","2013","225.673445631845"
"Cyprus","2012","221.173987639924"
"Cyprus","2011","216.370430549331"
"Cyprus","2010","198.985648289535"
"Cyprus","2009","182.721093011051"
"Cyprus","2008","172.115839212849"
"Cyprus","2007","153.17083083787"
"Cyprus","2006","137.789679398688"
"Cyprus","2005","121.800897542198"
"Cyprus","2004","107.153253138078"
"Cyprus","2003","91.9978878681004"
"Cyprus","2002","80.2776918306652"
"Cyprus","2001","70.908083156346"
"Cyprus","2000","62.436007034613"
"Cyprus","1999","54.2932211473449"
"Cyprus","1998","47.3813618769702"
"Cyprus","1997","38.6481174421133"
"Cyprus","1996","33.5958149509823"
"Cyprus","1995","28.4924401894214"
"Cyprus","1994","26.2749430913806"
"Cyprus","1993","24.618956396142"
"Cyprus","1992","23.0432955914193"
"Czechia","2021","3711.39709469883"
"Czechia","2020","3734.28810841254"
"Czechia","2019","3823.44150867491"
"Czechia","2018","3793.35560714547"
"Czechia","2017","3742.04099439132"
"Czechia","2016","3528.34032037675"
"Czechia","2015","3309.68923795335"
"Czechia","2014","3060.05976578081"
"Czechia","2013","2880.60511059797"
"Czechia","2012","2751.78160149352"
"Czechia","2011","2648.54313198376"
"Czechia","2010","2438.09670404751"
"Czechia","2009","2221.1426036464"
"Czechia","2008","2202.65392837283"
"Czechia","2007","1943.84809825611"
"Czechia","2006","1586.28871426034"
"Czechia","2005","1346.93283553064"
"Czechia","2004","1327.48084581678"
"Czechia","2003","1211.47908077428"
"Czechia","2002","1098.28438408073"
"Czechia","2001","997.941713359019"
"Czechia","2000","799.772994278663"
"Czechia","1999","635.899512399311"
"Czechia","1998","529.342062016024"
"Czechia","1997","388.923908286244"
"Czechia","1996","215.431109279601"
"Czechia","1995","86.8663185315838"
"Denmark","2021","356.185833248185"
"Denmark","2020","392.046489213016"
"Denmark","2019","393.584672474583"
"Denmark","2018","541.850218222423"
"Denmark","2017","477.290396665842"
"Denmark","2016","565.849788191918"
"Denmark","2015","501.400219071035"
"Denmark","2014","643.638298855155"
"Denmark","2013","697.710957842957"
"Denmark","2012","755.463411325577"
"Denmark","2011","752.076159178407"
"Denmark","2010","828.402557998894"
"Denmark","2009","971.98070089693"
"Denmark","2008","947.130574554837"
"Denmark","2007","945.735206524572"
"Denmark","2006","911.996078437851"
"Denmark","2005","889.173992245578"
"Denmark","2004","838.394924661549"
"Denmark","2003","782.203834288067"
"Denmark","2002","759.105982586452"
"Denmark","2001","734.269406982082"
"Denmark","2000","735.346906785527"
"Denmark","1999","642.470598830946"
"Denmark","1998","501.275719738337"
"Denmark","1997","373.353164295304"
"Denmark","1996","370.591620671916"
"Denmark","1995","237.65284193339"
"Denmark","1994","144.51125729775"
"Denmark","1993","100.80397912275"
"Denmark","1992","3.5574"
"Estonia","2021","190.208121554073"
"Estonia","2020","179.918358786542"
"Estonia","2019","219.672200520598"
"Estonia","2018","225.985435251345"
"Estonia","2017","225.798758636333"
"Estonia","2016","225.039723985605"
"Estonia","2015","216.430788248505"
"Estonia","2014","211.452874182942"
"Estonia","2013","201.520879985932"
"Estonia","2012","188.030227566667"
"Estonia","2011","178.25436298708"
"Estonia","2010","170.727091162848"
"Estonia","2009","153.117264928232"
"Estonia","2008","146.246895541009"
"Estonia","2007","163.064572662102"
"Estonia","2006","147.197173984008"
"Estonia","2005","128.148801163142"
"Estonia","2004","113.402362842948"
"Estonia","2003","99.7091460994807"
"Estonia","2002","93.6443328052949"
"Estonia","2001","91.6553659714141"
"Estonia","2000","74.7379725589453"
"Estonia","1999","59.9571374870255"
"Estonia","1998","49.3855666324836"
"Estonia","1997","39.0084917344727"
"Estonia","1996","32.4489854045101"
"Estonia","1995","26.4887549503164"
"Estonia","1994","21.034340287984"
"Estonia","1993","18.3739370862071"
"Estonia","1992","15.9210727"
"European Union","2021","69863.7998495205"
"European Union","2020","72857.878771089"
"European Union","2019","78266.750103175"
"European Union","2018","81980.3288986712"
"European Union","2017","86516.3238737753"
"European Union","2016","88115.3679221969"
"European Union","2015","87246.4111252849"
"European Union","2014","95233.2271772466"
"European Union","2013","93185.9284708487"
"European Union","2012","91277.2306411323"
"European Union","2011","88926.3789119441"
"European Union","2010","85758.6912819862"
"European Union","2009","81532.7684565548"
"European Union","2008","80284.0288789527"
"European Union","2007","74719.437482118"
"European Union","2006","67973.1969317645"
"European Union","2005","62175.9238659143"
"European Union","2004","56196.8573521993"
"European Union","2003","50534.5212040434"
"European Union","2002","44360.8229432106"
"European Union","2001","40814.8067795044"
"European Union","2000","41220.14096236"
"European Union","1999","37854.445866557"
"European Union","1998","36889.1461808394"
"European Union","1997","32228.5138162795"
"European Union","1996","27309.2779651118"
"European Union","1995","21426.4893534647"
"European Union","1994","18425.4711674068"
"European Union","1993","15405.4909557331"
"European Union","1992","13869.8832098585"
"European Union","1991","12434.4058635569"
"European Union","1990","12884.2021830541"
"Finland","2021","837.600327970633"
"Finland","2020","903.858763686259"
"Finland","2019","968.939052467649"
"Finland","2018","1014.52697109427"
"Finland","2017","1064.04755804122"
"Finland","2016","1133.69370626397"
"Finland","2015","1192.69412519139"
"Finland","2014","1257.84509061715"
"Finland","2013","1290.87979417998"
"Finland","2012","1310.45084695647"
"Finland","2011","1302.08519554209"
"Finland","2010","1320.80371181994"
"Finland","2009","1337.19534036553"
"Finland","2008","1339.90563974754"
"Finland","2007","1305.55197596096"
"Finland","2006","1274.2107841316"
"Finland","2005","1123.18669394957"
"Finland","2004","1050.87674971105"
"Finland","2003","951.844789780003"
"Finland","2002","856.865245049461"
"Finland","2001","764.472716199771"
"Finland","2000","693.19545828551"
"Finland","1999","526.278219025237"
"Finland","1998","431.854401059789"
"Finland","1997","327.053865493533"
"Finland","1996","230.509607659696"
"Finland","1995","148.728455852747"
"Finland","1994","80.7565924837938"
"Finland","1993","0.19534479033754"
"Finland","1992","0.04702837855438"
"Finland","1991","0.0334211822212"
"Finland","1990","0.02045561758365"
"France","2021","9984.61884008818"
"France","2020","11281.1986802683"
"France","2019","12659.3319567789"
"France","2018","14526.6985788262"
"France","2017","16050.522733414"
"France","2016","16661.9738027647"
"France","2015","16977.6344051868"
"France","2014","17150.45620137"
"France","2013","17252.9854497406"
"France","2012","17313.361229719"
"France","2011","17102.4130696826"
"France","2010","16410.872388385"
"France","2009","15692.1367671837"
"France","2008","15624.3867223657"
"France","2007","14536.3263657569"
"France","2006","13759.9404591143"
"France","2005","12310.1413003481"
"France","2004","11298.6464337191"
"France","2003","9892.47427730706"
"France","2002","8664.20809841647"
"France","2001","7541.68343010391"
"France","2000","6328.37323462022"
"France","1999","5137.82798197683"
"France","1998","4008.47507641538"
"France","1997","3639.7395743221"
"France","1996","2850.22276959625"
"France","1995","1600.56374406401"
"France","1994","1546.51491802312"
"France","1993","2439.44896065953"
"France","1992","4131.27714484074"
"France","1991","4850.62897897466"
"France","1990","4226.20529415878"
"Germany","2021","8069.17819431842"
"Germany","2020","8256.32327164359"
"Germany","2019","8743.36799213021"
"Germany","2018","9424.78445896137"
"Germany","2017","10374.6897383484"
"Germany","2016","10629.795252387"
"Germany","2015","10694.2771093373"
"Germany","2014","10465.5461925216"
"Germany","2013","10324.8528550645"
"Germany","2012","10337.4078633877"
"Germany","2011","10168.6649627782"
"Germany","2010","9753.44780199541"
"Germany","2009","9464.58459666326"
"Germany","2008","9204.69391176602"
"Germany","2007","9239.98791845343"
"Germany","2006","8808.93460759785"
"Germany","2005","8461.89719075486"
"Germany","2004","8221.35245142583"
"Germany","2003","7803.65796832049"
"Germany","2002","7598.21593355129"
"Germany","2001","7002.54946562612"
"Germany","2000","5655.83821531692"
"Germany","1999","4857.3065382502"
"Germany","1998","4526.17584084564"
"Germany","1997","3854.9825866894"
"Germany","1996","3149.86444774066"
"Germany","1995","2404.00069807046"
"Germany","1994","2445.62113384881"
"Germany","1993","2268.27490091729"
"Germany","1992","258.891326411"
