"Country or Territory","Station Name","WMO Station Number","National Station Id Number","Period","Element-Statistic Qualifier Code","Statistic Description","Unit","Jan","Jan Footnotes","Feb","Feb Footnotes","Mar","Mar Footnotes","Apr","Apr Footnotes","May","May Footnotes","Jun","Jun Footnotes","Jul","Jul Footnotes","Aug","Aug Footnotes","Sep","Sep Footnotes","Oct","Oct Footnotes","Nov","Nov Footnotes","Dec","Dec Footnotes","Annual","Annual Footnotes","Annual NCDC Computed Value","Annual NCDC Computed Value Footnotes"
"CANADA","CHURCHILL A , MB","71913","05060600","1964-1991","","Mean Daily Value","MJ/m2","-2.221","","-1.839","","-1.109","","1.928","","7.310","","10.443","","9.184","","6.574","","3.169","","0.087","","-1.634","","-2.138","","2.479","","-9999.9","1"
"CANADA","CHURCHILL A , MB","71913","05060600","1964-1991","","Number of Years used to Calculate Normal","MJ/m2","23","","22","","22","","23","","24","","23","","23","","23","","24","","25","","25","","25","","-9999","1","-9999.9","1"
"CANADA","EUREKA , NT","71917","02401200","1964-1991","","Mean Daily Value","MJ/m2","-1.495","","-1.355","","-1.806","","-0.985","","4.738","","12.806","","10.171","","4.332","","-1.025","","-1.633","","-1.602","","-1.495","","1.721","","-9999.9","1"
"CANADA","EUREKA , NT","71917","02401200","1964-1991","","Number of Years used to Calculate Normal","MJ/m2","20","","20","","20","","20","","20","","20","","21","","22","","21","","21","","21","","21","","-9999","1","-9999.9","1"
"CANADA","RESOLUTE A , NT","71924","02403500","1963-1991","","Mean Daily Value","MJ/m2","-1.885","","-1.871","","-1.629","","-0.508","","2.553","","8.845","","8.641","","4.577","","0.146","","-1.532","","-1.805","","-1.861","","1.139","","-9999.9","1"
"CANADA","RESOLUTE A , NT","71924","02403500","1963-1991","","Number of Years used to Calculate Normal","MJ/m2","26","","26","","26","","25","","25","","24","","27","","27","","27","","28","","28","","28","","-9999","1","-9999.9","1"
"CANADA","WHITEHORSE A , YT","71964","02101300","1970-1991","","Mean Daily Value","MJ/m2","-1.560","","-1.754","","-1.381","","3.915","","8.564","","9.570","","8.624","","6.322","","2.775","","-0.569","","-1.744","","-1.589","","2.598","","-9999.9","1"
"CANADA","WHITEHORSE A , YT","71964","02101300","1970-1991","","Number of Years used to Calculate Normal","MJ/m2","20","","20","","20","","20","","20","","20","","21","","21","","21","","21","","21","","21","","-9999","1","-9999.9","1"
"CANADA","MOULD BAY A , NT","71072","02502700","1968-1991","","Mean Daily Value","MJ/m2","-1.468","","-1.377","","-0.891","","-0.202","","1.423","","9.581","","9.821","","5.038","","0.489","","-0.817","","-1.257","","-1.255","","1.590","","-9999.9","1"
"CANADA","MOULD BAY A , NT","71072","02502700","1968-1991","","Number of Years used to Calculate Normal","MJ/m2","22","","22","","22","","22","","22","","21","","23","","23","","23","","23","","22","","23","","-9999","1","-9999.9","1"
"CANADA","ALERT , NT","71082","02400300","1968-1991","","Mean Daily Value","MJ/m2","-1.234","","-1.426","","-1.353","","-1.235","","1.276","","7.765","","10.247","","4.586","","-1.214","","-1.558","","-1.411","","-1.562","","1.074","","-9999.9","1"
"CANADA","ALERT , NT","71082","02400300","1968-1991","","Number of Years used to Calculate Normal","MJ/m2","21","","22","","22","","21","","21","","21","","23","","23","","22","","22","","22","","23","","-9999","1","-9999.9","1"
"CANADA","SABLE ISLAND , NS","71600","08204700","1969-1991","","Mean Daily Value","MJ/m2","-9999.9","1","1.907","","5.954","","7.533","","10.172","","11.171","","11.519","","9.495","","6.437","","3.239","","1.124","","-9999.9","1","5.761","","-9999.9","1"
"CANADA","SABLE ISLAND , NS","71600","08204700","1969-1991","","Number of Years used to Calculate Normal","MJ/m2","19","","21","","21","","20","","22","","22","","21","","21","","21","","21","","21","","19","","-9999","1","-9999.9","1"
"CANADA","MOOSONEE , ON","71836","06075425","1968-1991","","Mean Daily Value","MJ/m2","-1.627","","-1.501","","-0.297","","4.822","","9.476","","10.592","","10.568","","8.007","","4.385","","1.471","","-0.821","","-1.720","","3.613","","-9999.9","1"
"CANADA","MOOSONEE , ON","71836","06075425","1968-1991","","Number of Years used to Calculate Normal","MJ/m2","22","","20","","22","","22","","22","","22","","22","","22","","21","","21","","22","","22","","-9999","1","-9999.9","1"

"footnoteSeqID","Footnote"
"1","code for missing value"
