"Country or Area","Year","Value"
"Austria","2021","11.9623"
"Austria","2020","11.27"
"Austria","2019","12.7351"
"Austria","2018","15.456"
"Austria","2017","11.2378"
"Austria","2016","5.7477"
"Austria","2015","12.59825"
"Austria","2014","9.88701"
"Austria","2013","9.1287"
"Austria","2012","8.01619"
"Austria","2011","3.83985"
"Austria","2010","3.85273"
"Austria","2009","4.2504"
"Austria","2008","50.05168"
"Austria","2007","55.5933"
"Austria","2006","30.6383"
"Austria","2005","26.3557"
"Austria","2004","24.8423"
"Austria","2003","20.176842"
"Austria","2002","9.8371"
"Austria","2001","9.8371"
"Austria","2000","9.8371"
"Austria","1999","7.709928571422"
"Austria","1998","8.827483636349"
"Austria","1997","14.53347"
"Austria","1996","7.41888"
"Austria","1995","6.02784"
"Austria","1994","0.71001"
"Belarus","2021","6.051351816"
"Belarus","2020","6.119338428"
"Belarus","2019","6.4237840524"
"Belarus","2018","6.8086221156"
"Belarus","2017","7.2018604008"
"Belarus","2016","7.603498908"
"Belarus","2015","7.991339472"
"Belarus","2014","8.0217428112"
"Belarus","2013","8.3257762032"
"Belarus","2012","8.6298095952"
"Belarus","2011","8.9338429872"
"Belarus","2010","9.2378763792"
"Belarus","2009","9.5419097712"
"Belarus","2008","9.8459431632"
"Belarus","2007","10.1499765552"
"Belarus","2006","10.4540099472"
"Belarus","2005","10.72764"
"Belarus","2004","10.72764"
"Belarus","2003","10.72764"
"Belarus","2002","10.72764"
"Belarus","2001","10.72764"
"Belarus","2000","10.72764"
"Belarus","1999","10.72764"
"Belarus","1998","10.72764"
"Belarus","1997","10.72764"
"Belarus","1996","10.72764"
"Belarus","1995","10.72764"
"Belgium","2021","5.248876861074"
"Belgium","2020","8.132219363758"
"Belgium","2019","1.0465"
"Belgium","2018","0.604394"
"Belgium","2017","0.587006"
"Belgium","2016","0.668955"
"Belgium","2015","0.79534"
"Belgium","2014","0.64561"
"Belgium","2013","1.16242"
"Belgium","2012","1.0465"
"Belgium","2011","2.31679"
"Belgium","2010","1.2397"
"Belgium","2009","0.5313"
"Belgium","2008","0.6279"
"Canada","2021","0.61576"
"Canada","2020","0.61576"
"Canada","2019","0.332648"
"Canada","2018","0.343656"
"Canada","2017","0.2337136"
"Canada","2016","0.14104"
"Canada","2015","0.011008"
"Canada","2014","0.011008"
"Canada","2013","0.151044896"
"Canada","2012","0.151044896"
"Canada","2011","0.151044896"
"Canada","2010","0.151044896"
"Canada","2009","0.159715358724"
"Canada","2008","0.168385821276"
"Canada","2007","0.177056284"
"Canada","2006","0.185726746724"
"Canada","2005","0.194397209276"
"Canada","2004","0.203067672"
"Canada","2003","0.211738134724"
"Canada","2002","0.220408597276"
"Canada","2001","0.22907906"
"Canada","2000","0.237749522724"
"Canada","1999","0.246419985276"
"Canada","1998","0.255090448"
"Canada","1997","0.263760910724"
"Canada","1996","0.272431373276"
"Canada","1995","0.281101836"
"Canada","1994","0.289772298724"
"Canada","1993","0.298442761276"
"Canada","1992","0.307113224"
"Canada","1991","0.315783686724"
"Canada","1990","0.324454149276"
"Czechia","2021","1.456084"
"Czechia","2020","2.015881"
"Czechia","2019","2.361548"
"Czechia","2018","2.912168"
"Czechia","2017","3.12018"
"Czechia","2016","2.012822"
"Czechia","2015","2.012822"
"Czechia","2014","2.220834"
"Czechia","2013","1.318429"
"Czechia","2012","0.832048"
"Czechia","2011","0.553679"
"Czechia","2010","0.137655"
"European Union","2021","71.286505196522"
"European Union","2020","68.380158592984"
"European Union","2019","65.132768859053"
"European Union","2018","81.977037503263"
"European Union","2017","82.913687827299"
"European Union","2016","74.286033378508"
"European Union","2015","77.379723204224"
"European Union","2014","84.977704822234"
"European Union","2013","83.56295733331"
"European Union","2012","110.49107484317"
"European Union","2011","146.492739126405"
"European Union","2010","140.812862774339"
"European Union","2009","103.639197225739"
"European Union","2008","173.343814000014"
"European Union","2007","153.08733333327"
"European Union","2006","133.156426666725"
"European Union","2005","147.85555333332"
"European Union","2004","125.250646658592"
"European Union","2003","138.317785464866"
"European Union","2002","126.206213325199"
"European Union","2001","76.951993109159"
"European Union","2000","96.091134891633"
"European Union","1999","70.798284858784"
"European Union","1998","73.48146883553"
"European Union","1997","97.771235587683"
"European Union","1996","91.098442272229"
"European Union","1995","97.508086922967"
"European Union","1994","29.736495090953"
"European Union","1993","26.973168264532"
"European Union","1992","25.10651660412"
"European Union","1991","23.4095605492"
"European Union","1990","21.866873226443"
"France","2021","11.599144335394"
"France","2020","7.99429156246"
"France","2019","9.632509747973"
"France","2018","11.467203714351"
"France","2017","7.149004394"
"France","2016","5.464974823"
"France","2015","5.835132982"
