"Country or Area","Year","Value"
"Australia","2020","270.31474297"
"Australia","2019","303.14201916"
"Australia","2018","236.00270391"
"Australia","2017","202.62553668"
"Australia","2016","224.924133892"
"Australia","2015","171.323657071029"
"Australia","2014","192.535990598746"
"Australia","2013","192.001235884438"
"Australia","2012","294.882946981773"
"Australia","2011","301.304839525102"
"Australia","2010","283.315234628066"
"Australia","2009","358.551981149097"
"Australia","2008","444.516693559401"
"Australia","2007","582.676819046088"
"Australia","2006","687.059841760489"
"Australia","2005","1791.70111972472"
"Australia","2004","1713.84870550831"
"Australia","2003","1683.98477494731"
"Australia","2002","1727.62315282097"
"Australia","2001","1801.88197415979"
"Australia","2000","1287.06178871158"
"Australia","1999","1139.05875745416"
"Australia","1998","1660.51882000668"
"Australia","1997","1228.1508980875"
"Australia","1996","1410.39505848126"
"Australia","1995","1530.83566492632"
"Australia","1994","2164.42874878371"
"Australia","1993","3315.52837602798"
"Australia","1992","4603.282544266"
"Australia","1991","4610.74329393256"
"Australia","1990","4607.01291909928"
"Austria","2021","23.40351"
"Austria","2020","27.02043"
"Austria","2019","34.70289"
"Austria","2018","29.39778"
"Austria","2017","39.75225"
"Austria","2016","45.65169"
"Austria","2015","44.893263"
"Austria","2014","48.022812"
"Austria","2013","44.62425"
"Austria","2012","45.95313"
"Austria","2011","66.43158"
"Austria","2010","70.514685"
"Austria","2009","32.62974"
"Austria","2008","188.487792"
"Austria","2007","208.70393"
"Austria","2006","156.329195"
"Austria","2005","150.05916"
"Austria","2004","145.05975"
"Austria","2003","115.5888"
"Austria","2002","93.0670775928955"
"Austria","2001","106.134552592896"
"Austria","2000","79.60613"
"Austria","1999","71.5907106220718"
"Austria","1998","50.2695924480621"
"Austria","1997","106.082028"
"Austria","1996","72.47259"
"Austria","1995","75.27546"
"Austria","1994","64.074753"
"Austria","1993","57.32154"
"Austria","1992","458.903007"
"Austria","1991","1071.83620368"
"Austria","1990","1062.93487068"
"Belarus","2021","10.5373307061"
"Belarus","2020","10.6557170985892"
"Belarus","2019","11.1858538909368"
"Belarus","2018","11.8559795227314"
"Belarus","2017","12.5407326163423"
"Belarus","2016","13.2401131717697"
"Belarus","2015","13.9154671136977"
"Belarus","2014","13.9684090101428"
"Belarus","2013","14.4978279745938"
"Belarus","2012","15.0272469390447"
"Belarus","2011","15.5566659034956"
"Belarus","2010","16.0860848679465"
"Belarus","2009","16.6155038323974"
