"Country or Area","Year","Value"
"Australia","2020","90.901778076396"
"Australia","2019","136.861720197132"
"Australia","2018","145.265399822976"
"Australia","2017","115.357166950272"
"Australia","2016","117.125146366224"
"Australia","2015","116.17215576402"
"Australia","2014","105.63313448376"
"Australia","2013","108.169917185976"
"Australia","2012","114.98058539706"
"Australia","2011","118.155119885928"
"Australia","2010","129.809129163312"
"Australia","2009","146.99300178048"
"Australia","2008","163.324544933376"
"Australia","2007","175.12764878244"
"Australia","2006","186.068678687772"
"Australia","2005","196.215512499732"
"Australia","2004","230.664605103036"
"Australia","2003","229.114229424252"
"Australia","2002","225.095302791336"
"Australia","2001","218.795715845796"
"Australia","2000","212.426823897804"
"Australia","1999","211.289024822616"
"Australia","1998","240.20739509454"
"Australia","1997","266.773058813088"
"Australia","1996","289.097823057288"
"Australia","1995","316.214949739716"
"Australia","1994","295.606353272172"
"Australia","1993","276.868544891196"
"Australia","1992","258.112168812888"
"Australia","1991","239.342085079776"
"Australia","1990","220.559694348984"
"Austria","2021","370.52709677397"
"Austria","2020","454.51503859811"
"Austria","2019","449.81691318089"
"Austria","2018","398.184127537555"
"Austria","2017","412.20828696774"
"Austria","2016","404.897622774955"
"Austria","2015","319.05066431161"
"Austria","2014","323.62322538893"
"Austria","2013","314.69431779771"
"Austria","2012","321.454483533385"
"Austria","2011","316.784829210755"
"Austria","2010","346.182462484225"
"Austria","2009","352.16876521251"
"Austria","2008","384.89957565027"
"Austria","2007","378.274405087905"
"Austria","2006","467.38453893293"
"Austria","2005","508.7801682187"
"Austria","2004","498.866454956195"
"Austria","2003","566.311601457075"
"Austria","2002","632.130297120835"
"Austria","2001","648.647109846285"
"Austria","2000","592.16708349078"
"Austria","1999","697.134153206495"
"Austria","1998","896.58928139945"
"Austria","1997","1119.75126719067"
"Austria","1996","1213.03255998165"
"Austria","1995","1133.88295007914"
"Austria","1994","954.608688174315"
"Austria","1993","766.845333269725"
"Austria","1992","676.4204823649"
"Austria","1991","632.995631460075"
"Austria","1990","485.05688055525"
"Belarus","2021","10.494253128"
"Belarus","2020","10.525250184"
"Belarus","2019","9.6662489892"
