"Country or Area","Year","Value"
"European Union","2021","1542.53512531032"
"European Union","2020","1519.78291244962"
"European Union","2019","1594.67657388695"
"European Union","2018","1747.35463112628"
"European Union","2017","1072.40045363581"
"European Union","2016","750.974479419771"
"European Union","2015","741.15106852219"
"European Union","2014","746.713612400619"
"European Union","2013","951.497466462496"
"European Union","2012","783.836666450161"
"European Union","2011","414.109257738842"
"European Union","2010","502.218716024"
"European Union","2009","1153.735229819"
"European Union","2008","854.937018384"
"European Union","2007","675.116942784"
"European Union","2006","808.046005184"
"European Union","2005","980.873346084"
"European Union","2004","921.990060584"
"European Union","2003","1126.399691834"
"European Union","2002","1806.743498084"
"European Union","2001","1757.588205584"
"European Union","2000","2020.231835584"
"European Union","1999","3590.514195584"
"European Union","1998","3716.991430984"
"European Union","1997","3794.260430984"
"European Union","1996","3884.109773984"
"European Union","1995","5092.251556184"
"European Union","1994","4828.998077"
"European Union","1993","4546.870572"
"European Union","1992","4552.654091"
"European Union","1991","4565.612779"
"European Union","1990","4959.6414528"
"Germany","2021","166.6412268"
"Germany","2020","141.55164754"
"Germany","2019","207.75738"
"Germany","2018","191.1247996"
"Germany","2017","215.75500915"
"Germany","2016","185.525817605"
"Germany","2015","248.2920921"
"Germany","2014","226.9156959"
"Germany","2013","292.36643206"
"Germany","2012","286.96029446"
"Germany","2011","269.202105975"
"Germany","2010","477.79041924"
"Germany","2009","1129.306933035"
"Germany","2008","830.5087216"
"Germany","2007","650.688646"
"Germany","2006","783.6177084"
"Germany","2005","956.4450493"
"Germany","2004","897.5617638"
"Germany","2003","1101.97139505"
"Germany","2002","1782.3152013"
"Germany","2001","1733.1599088"
"Germany","2000","1995.8035388"
"Germany","1999","3566.0858988"
"Germany","1998","3692.5631342"
"Germany","1997","3769.8321342"
"Germany","1996","3859.6814772"
"Germany","1995","5067.8232594"
"Germany","1994","4828.998077"
"Germany","1993","4546.870572"
"Germany","1992","4552.654091"
"Germany","1991","4565.612779"
"Germany","1990","4959.6414528"
"Italy","2021","25.331"
"Italy","2020","22.366025"
"Italy","2019","23.152635"
"Italy","2018","22.73782"
"Italy","2017","24.428296784"
"Italy","2016","24.428296784"
"Italy","2015","24.428296784"
"Italy","2014","24.428296784"
"Italy","2013","24.428296784"
"Italy","2012","24.428296784"
"Italy","2011","24.428296784"
"Italy","2010","24.428296784"
"Italy","2009","24.428296784"
"Italy","2008","24.428296784"
"Italy","2007","24.428296784"
"Italy","2006","24.428296784"
"Italy","2005","24.428296784"
"Italy","2004","24.428296784"
"Italy","2003","24.428296784"
"Italy","2002","24.428296784"
"Italy","2001","24.428296784"
"Italy","2000","24.428296784"
"Italy","1999","24.428296784"
"Italy","1998","24.428296784"
"Italy","1997","24.428296784"
"Italy","1996","24.428296784"
"Italy","1995","24.428296784"
"Spain","2021","1350.56289851032"
"Spain","2020","1355.86523990962"
"Spain","2019","1363.76655888695"
"Spain","2018","1533.49201152628"
"Spain","2017","832.217147701807"
"Spain","2016","541.020365030771"
"Spain","2015","468.43067963819"
"Spain","2014","495.369619716619"
"Spain","2013","634.702737618496"
"Spain","2012","472.448075206161"
"Spain","2011","120.478854979842"
"United States of America","2021","16320.38702338"
"United States of America","2020","15921.01515958"
"United States of America","2019","16069.89597065"
"United States of America","2018","15950.98730858"
"United States of America","2017","15467.11260974"
"United States of America","2016","14410.6934352"
"United States of America","2015","13442.7281632"
"United States of America","2014","12179.584698"
"United States of America","2013","11558.7495006"
"United States of America","2012","10889.2443124"
"United States of America","2011","10226.3752554"
"United States of America","2010","9557.3961246"
"United States of America","2009","8893.0453894"
"United States of America","2008","8295.7765546"
"United States of America","2007","7887.2833016"
"United States of America","2006","7447.5745598"
"United States of America","2005","7089.2773304"
"United States of America","2004","6638.269903"
"United States of America","2003","6173.7319126"
"United States of America","2002","5410.6946954"
"United States of America","2001","4756.5691548"
"United States of America","2000","4739.87745"
"United States of America","1999","4856.552819"
"United States of America","1998","4620.6345904"
"United States of America","1997","3886.9286286"
"United States of America","1996","3176.3570042"
"United States of America","1995","1735.0753378"
"United States of America","1994","587.9286752"
"United States of America","1993","545.4603594"
"United States of America","1992","535.4307816"
"United States of America","1991","531.0365304"
"United States of America","1990","252.430704"

