Country or Area,Year,"Undata Carbon Dioxide (Co2) Emissions Without Land Use, Land-Use Change And Forestry (Lulucf), In Kilotonne Co2 Equivalent","Undata Greenhouse Gas (Ghgs) Emissions Without Land Use, Land-Use Change And Forestry (Lulucf), In Kilotonne Co2 Equivalent","Undata Greenhouse Gas (Ghgs) Emissions, Including Indirect Co2, Without Lulucf, In Kilotonne Co2 Equivalent ","Undata Hydrofluorocarbons (Hfcs) Emissions, In Kilotonne Co2 Equivalent","Undata Methane (Ch4) Emissions Without Land Use, Land-Use Change And Forestry (Lulucf), In Kilotonne Co2 Equivalent","Undata Nitrogen Trifluoride (Nf3) Emissions, In Kilotonne Co2 Equivalent ","Undata Nitrous Oxide (N2O) Emissions Without Land Use, Land-Use Change And Forestry (Lulucf), In Kilotonne Co2 Equivalent","Undata Perfluorocarbons (Pfcs) Emissions, In Kilotonne Co2 Equivalent","Undata Sulphur Hexafluoride (Sf6) Emissions, In Kilotonne Co2 Equivalent","Undata Unspecified Mix Of Hydrofluorocarbons (Hfcs) And Perfluorocarbons (Pfcs) Emissions, In Kilotonne Co2 Equivalent "
Australia,1990,278154.156295787,425624.307017106,,1424.68352,125133.249408805,,16084.6451790658,4607.01291909928,220.559694348984,
Austria,1990,62167.1596694411,79047.2317550991,,2.04228,11318.847159775,,4011.19089464778,1062.93487068,485.05688055525,
Belarus,1990,108345.055090033,145339.885678813,,,20770.3444355306,,16224.4861532494,,,
Belgium,1990,120292.799243639,145844.473820194,,,12899.9861722137,,8950.47887873998,2034.77109,1666.43843560096,
Bulgaria,1990,76637.9858255901,98910.3375100589,98999.5574466745,,14631.8094562071,,7636.73490267369,,3.807325588035,
Canada,1990,458503.095221994,588602.823844428,,970.540192,83913.8547579155,0.324454149276,34431.1851606313,7557.90185934868,3225.9221983891,
Croatia,1990,22974.684267243,31454.1820495057,,,4821.38262191547,,2529.77601034721,1117.283904,11.055246,
Cyprus,1990,4644.86054344449,5571.72781168549,5576.93681168549,,776.447324020094,,147.689083993672,,2.73086022723,
Czechia,1990,164250.436011005,198775.27153182,200727.483928154,,26813.5709678121,,7624.43882227969,,86.82573072348,
Denmark,1990,54771.3956998079,71820.9350152736,72940.9913082427,,9161.07323086463,,7844.75608460103,,43.71,
Estonia,1990,36919.6062079986,40276.3625495132,,,2152.37788424663,,1204.37845726794,,,
European Union,1990,3873588.21362042,4860553.44786502,4866997.59775075,12884.2021830541,648411.628836414,21.866873226443,288825.079710348,21857.2188834762,10005.5963052847,4959.6414528
Finland,1990,56914.327998446,71087.7539626184,71254.0985658935,0.02045561758365,8611.47088743084,,5507.64836034323,0.19163391093156,54.09462686989,
France,1990,399166.166653305,540830.691723612,542501.841152196,4226.20529415878,79256.3293414455,15.426873226443,51257.6613266073,4684.55658491491,2224.3456499542,
Germany,1990,1054740.6436309,1251224.78202178,,42.16,132605.600250998,6.44,51554.3507443964,2752.0005,4563.945442695,4959.6414528
Greece,1990,83438.039765697,103985.686545762,,991.008,12526.7591923293,,6855.76602483543,171.0947529,3.01881,
Hungary,1990,73376.8253529764,94985.0234000163,,0.00215273275862,13801.4772634484,,7456.41822373715,337.533103877467,12.767303244125,
Iceland,1990,2222.78736751314,3682.04495673235,,0.31364363459,717.891236008398,,295.106758246681,444.815895079545,1.13005625,
Ireland,1990,32944.4202164772,55642.8360001475,,0.496,16138.0389000643,,6524.852696502,0.10869,34.91949710403,
Italy,1990,438904.296327849,521480.337660232,,372,54975.3404829517,,24192.8269672718,2614.98560470342,420.88827745617,
Japan,1990,1157195.59475873,1269334.02779355,1274815.54202668,15940.0233738106,44542.0260943465,32.60985386694,32218.2234995033,6555.48033717223,12850.069876124,
Latvia,1990,19662.7214048168,26022.7043960204,26063.1134321676,,4061.20773750298,,2298.77525370067,,,
Liechtenstein,1990,198.970855799094,229.644787824803,,0.00009605405272,21.5448472789875,,9.128988692669,,,
Lithuania,1990,35737.6729797811,48134.542506902,48168.888919166,,7808.49155343463,,4588.37797368619,,,
Luxembourg,1990,11815.5032151881,12722.4119009925,,0.000065,677.029377260265,,228.976132070636,,0.903111473545,
Malta,1990,2427.39679892615,2626.43077703544,,,139.733069063685,,59.2899580456071,,0.010951,
Monaco,1990,97.9479838252664,102.459561937105,102.694441053256,,2.199675828141,,2.22983322541748,,0.08206905828,
Netherlands (Kingdom of the),1990,162665.108615571,221781.035412242,222698.226959268,4697.1944,35730.769064472,,16077.5681792035,2397.34415299622,213.051,
New Zealand,1990,25502.5084048774,64720.0714479134,,,32580.698159399,,5706.94273563705,909.949348,19.9728,
Norway,1990,34422.2978429278,50712.446256241,51305.154955761,0.048853369,6982.07704641314,,3645.21374633388,3499.842831555,2162.96593564222,
Poland,1990,376641.25071379,474554.322342134,474838.249248258,,69949.2253588715,,27836.3746194126,127.47165006,,
Portugal,1990,45278.8208529413,59473.354739375,59551.6238974808,,10736.4749169206,,3458.05896951309,,,
Romania,1990,176506.904325929,257137.182917109,,0.16472084749036,59043.1278089874,,19056.4448494542,2530.06439424,0.4768176508,
Russian Federation,1990,2536247.74247122,3166579.0510319,,35937.158805248,438513.496193039,,139337.059157919,15105.8081399023,1437.7862645768,
Slovakia,1990,61472.8346097133,73738.6697828329,73826.4390575382,,8176.89695162167,,3805.83243549796,283.045626,0.06016,
Slovenia,1990,15094.5457947604,18797.6477831431,,,2833.71256439222,,672.64229800684,186.616275983619,10.13085,
Spain,1990,230500.246690394,287710.272364026,,2546.9599974704,40972.967062181,,12577.8720089237,1046.27244503273,65.9541600235,
Sweden,1990,57509.8985541691,71478.3126397141,,5.9488172270393,8297.43516801874,,5049.23429013134,510.943604176905,104.85220599107,
Switzerland,1990,44161.000634934,54933.8786511136,55344.9841202819,0.0225283552,6512.69819762558,,4014.17728922407,104.767420788384,141.21258018643,
Türkiye,1990,151614.980905814,219526.15112606,,,42487.5434745666,,24950.8228579991,472.80388768,,
Ukraine,1990,706226.888067783,942800.468806485,,,182891.68139629,,53446.0720872148,235.819623398333,0.007631799084,
United Kingdom,1990,603666.158680242,806301.842515123,,12068.4574674711,145315.661611159,0.10985408028,42524.9654085881,1483.66130882974,1242.82818475229,
United States of America,1990,5120957.20703609,6487330.94828585,,38783.3563522279,868661.001476945,44.856823733932,406280.588580711,21831.1231006426,30520.3842115033,252.430704
Australia,1991,279528.510123286,425686.444956654,,1424.68352,124199.251540457,,15683.9143938991,4610.74329393256,239.342085079776,
Austria,1991,65765.655960561,82711.1564135882,,3.25872,11199.9213641497,,4037.4885337374,1071.83620368,632.995631460075,
Belarus,1991,104071.65587819,139713.443296395,,,19739.7590855256,,15902.0283326791,,,
Belgium,1991,123362.626314519,148579.581285293,,,12855.2717454567,,8831.88131321568,1947.00799,1582.79392210096,
Bulgaria,1991,61456.3428917743,80843.2184225299,80931.6356503918,0.00285051,13462.7327372513,,5920.11179252205,,4.028150472165,
Canada,1991,450159.602215421,582031.22167029,,1056.6608,85490.8008552617,0.315783686724,33605.4894659395,8033.11321531272,3685.23933466788,
Croatia,1991,16985.2488597416,24818.23437923,,,4661.53213163526,,2394.10947885311,766.409688,10.934221,
Cyprus,1991,5133.20507168247,6076.34944153024,6080.87324153024,,791.347981011437,,148.425922699951,,3.370466136385,
Czechia,1991,148883.273374256,180859.665428429,182629.007092437,,25429.833263468,,6459.90206953439,,86.656721171005,
Denmark,1991,65364.9481987375,82432.9957387425,83604.4071192862,,9393.40183813724,,7611.70682686774,,62.938875,
Estonia,1991,34147.1620631506,37402.7145615052,,,2077.99022240648,,1177.51260869813,,0.04966725,
European Union,1991,3808218.1432339,4755619.49767636,4761867.85835277,12434.4058635569,627352.442936245,23.4095605492,272644.93652222,19959.3769288032,10421.1698520851,4565.612779
