Year,Residential,Commercial,Agriculture,Industry,Transportation,Electricity generation,"Land use,  land use change,  and  forestry (sinks)"
1990,345.0707892,427.1097946,596.7782036,1652.361348,1526.434289,1880.548218,-860.6250574
1991,354.6897497,434.3210719,587.4933791,1625.461259,1480.303906,1874.832994,-869.9082889
1992,361.2220248,429.9390699,588.301071,1662.343992,1539.881716,1890.103637,-862.4402032
1993,372.6124988,423.3667576,616.3677197,1631.906633,1576.887693,1965.574487,-844.206428
1994,363.2601466,426.5831602,603.4730438,1657.477536,1631.84286,1990.300202,-857.5259735
1995,367.5235211,425.6963637,615.6694674,1675.133984,1667.01978,2006.877479,-831.7775006
1996,399.4548027,433.3072282,622.9079529,1705.045256,1723.249166,2079.434226,-852.1428676
1997,380.8286589,425.7958774,611.3285207,1705.17277,1749.84933,2144.903577,-833.4407232
1998,346.8732536,400.5410056,618.246994,1677.755098,1792.295978,2231.446285,-835.2578601
1999,366.6844584,396.9265022,609.2897438,1627.052157,1863.292087,2244.837093,-828.0496898
2000,387.9925386,411.1952894,594.8543002,1616.991263,1913.55078,2351.125685,-825.2288316
2001,378.0768839,400.2090783,615.5265572,1569.909847,1885.434887,2311.387024,-828.8079892
2002,375.2866689,401.730691,618.6742483,1550.9615,1925.980857,2326.759449,-790.5485356
2003,393.7289434,417.9651174,618.9622898,1529.061153,1933.326749,2357.952283,-820.7858422
2004,381.852435,415.7778278,631.722629,1577.981113,1965.852074,2390.768614,-729.4523162
2005,371.0155287,405.4424321,626.2532137,1536.17642,1975.495129,2456.73709,-789.7931676
2006,334.3094,391.9017623,625.7865014,1570.640402,1975.865366,2401.231383,-817.1760559
2007,355.2548552,405.8560039,642.7207481,1560.386569,1974.426677,2467.226239,-776.3550104
2008,363.9069817,413.1665118,631.0310542,1501.553646,1870.90605,2414.114945,-766.4712252
2009,354.5451475,416.9037851,632.8604701,1345.926535,1796.295049,2198.273322,-734.4890339
2010,355.5391842,419.2903163,641.0292595,1438.77876,1802.276352,2313.956993,-761.0363768
2011,349.0938093,415.0676612,622.7172211,1443.335476,1768.59536,2211.767283,-800.7290152
2012,306.9431239,396.0250101,606.4525784,1440.040968,1748.912232,2073.78562,-799.9251081
2013,357.7310858,419.3419598,645.1572756,1489.536433,1751.515531,2092.343183,-767.4142623
2014,378.2769922,429.6005259,654.1143399,1474.546661,1785.407074,2092.5328,-781.3816316
2015,351.469522,442.0847199,656.1010385,1464.017871,1793.399368,1952.725752,-700.0664105
2016,327.8126347,426.9066423,643.4202707,1424.355203,1828.045564,1860.497992,-826.6421699
2017,329.8809699,428.4860499,644.3957277,1446.687191,1845.162609,1780.55203,-781.2093236
2018,377.3688578,444.2334991,657.9149823,1507.64746,1874.726295,1799.826648,-769.266566
2019,384.1781584,452.1397884,663.8956688,1521.665941,1874.291137,1650.961498,-730.4876898
2020,361.9522568,425.3125143,635.1059605,1426.194536,1627.618555,1482.182865,-758.9433076
