Year,Industrial,Commercial,Residential,Transportation
1949,14.723587,3.668816,5.59925,7.990015
1950,16.241423,3.893298,5.988553,8.492473
1951,17.678532,3.873226,6.380193,9.041892
1952,17.311362,3.873385,6.560243,9.002752
1953,18.211754,3.770982,6.558748,9.123022
1954,17.157695,3.732921,6.846058,8.902617
1955,19.484608,3.89514,7.277988,9.550205
1956,20.209479,4.022859,7.662725,9.859364
1957,20.218258,3.960787,7.712,9.896269
1958,19.321087,4.119156,8.200674,10.004101
1959,20.333201,4.372186,8.411866,10.34853
1960,20.841687,4.6094,9.039418,10.595943
1961,20.955128,4.727663,9.286024,10.769126
1962,21.788192,5.036386,9.78242,11.219481
1963,22.75119,5.250646,9.988479,11.653755
1964,24.111354,5.465993,10.240574,11.997007
1965,25.097614,5.845423,10.639387,12.432456
1966,26.421623,6.324047,11.16863,13.100235
1967,26.614298,6.899205,11.639275,13.752076
1968,27.883171,7.329032,12.33629,14.865775
1969,29.1054,7.833219,13.169156,15.506506
1970,29.627901,8.346295,13.765758,16.098249
1971,29.585943,8.720954,14.2462,16.730053
1972,30.930189,9.183416,14.857045,17.717291
1973,32.623268,9.542957,14.897351,18.61278
1974,31.787187,9.393324,14.654336,18.120419
1975,29.413018,9.492492,14.8134,18.245003
1976,31.392821,10.063334,15.410259,19.100798
1977,32.263009,10.207599,15.661713,19.82159
1978,32.687556,10.51188,16.132287,20.617064
1979,33.92474,10.648024,15.812724,20.471532
1980,32.039419,10.578258,15.75338,19.69669
1981,30.711561,10.615891,15.261544,19.514013
1982,27.614494,10.860337,15.530937,19.089228
1983,27.427759,10.938376,15.425021,19.176615
1984,29.569887,11.44389,15.959563,19.655566
1985,28.815809,11.451231,16.041334,20.087913
1986,28.273554,11.606106,15.975109,20.788785
1987,29.378886,11.946009,16.263214,21.46888
1988,30.677381,12.578091,17.132613,22.317722
1989,31.327765,13.196288,17.789714,22.478575
1990,31.8016,13.317336,16.94006,22.418964
1991,31.39934,13.499968,17.419327,22.117987
1992,32.570884,13.441084,17.35477,22.415073
1993,32.619054,13.816949,18.211592,22.711103
1994,33.520313,14.097332,18.110261,23.365133
1995,33.96976,14.68992,18.516656,23.851126
1996,34.903242,15.171899,19.501836,24.439208
1997,35.199392,15.681208,18.962255,24.751338
1998,34.841564,15.967513,18.951919,25.260114
1999,34.762838,16.37627,19.553511,25.949489
2000,34.662498,17.175373,20.421041,26.555329
2001,32.719226,17.136778,20.037592,26.282153
2002,32.661068,17.34575,20.785794,26.845749
2003,32.553077,17.346104,21.11932,26.900175
2004,33.515622,17.655439,21.081388,27.842772
2005,32.441502,17.853399,21.612646,28.280349
2006,32.390756,17.707148,20.670321,28.71665
2007,32.385233,18.252869,21.518992,28.858342
2008,31.334244,18.402097,21.667627,27.486253
2009,28.465904,17.887254,21.077368,26.687066
2010,30.669197,18.05809,21.793633,27.052267
2011,30.978839,17.980357,21.306984,26.702319
2012,31.057009,17.41963,19.851495,26.204673
2013,31.625048,17.929461,21.059531,26.727736
2014,31.795902,18.264476,21.45289,26.971849
2015,31.46883,18.156951,20.538724,27.360191
2016,31.489972,18.026265,20.079597,27.990664
2017,31.521063,18.05384,19.978232,28.181371
