Year,Other renewables,Biomass,Hydroelectric,Nuclear,Natural gas,Petroleum,Coal
1949,0,1.549262,1.424722,0,5.145142,11.882722,11.980905
1950,0,1.562307,1.415411,0,5.968371,13.315484,12.347109
1951,0,1.534669,1.423795,0,7.048518,14.428043,12.552996
1952,0,1.474369,1.465812,0,7.549621,14.955682,11.306479
1953,0,1.418601,1.412859,0,7.906645,15.555829,11.372684
1954,0,1.394327,1.359772,0,8.330202,15.839176,9.714667
1955,0,1.424143,1.359844,0,8.997935,17.254955,11.167259
1956,0,1.415871,1.434711,0,9.613975,17.937473,11.349723
1957,0,1.333581,1.515613,0.000112,10.190753,17.931667,10.820631
1958,0,1.323123,1.591967,0.001915,10.663199,18.526937,9.533287
1959,0,1.352874,1.548465,0.002187,11.717422,19.32265,9.518353
1960,0.000359,1.31987,1.607975,0.006026,12.385366,19.91923,9.837785
1961,0.001001,1.294762,1.656463,0.019678,12.926392,20.216387,9.623351
1962,0.001061,1.300242,1.816141,0.026394,13.730841,21.048981,9.906454
1963,0.00176,1.323316,1.771355,0.038147,14.403306,21.700828,10.412538
1964,0.002132,1.336802,1.886314,0.039819,15.28785,22.301257,10.964385
1965,0.001978,1.334761,2.059077,0.043164,15.768667,23.24568,11.580608
1966,0.001958,1.368985,2.061519,0.064158,16.995332,24.400523,12.14308
1967,0.0033,1.340249,2.346664,0.088456,17.944788,25.283661,11.91375
1968,0.004532,1.419495,2.348629,0.141534,19.209656,26.979447,12.330677
1969,0.006422,1.440487,2.647983,0.153722,20.677984,28.338336,12.38154
1970,0.005511,1.430962,2.633547,0.239347,21.794707,29.520695,12.264528
1971,0.005739,1.432323,2.824151,0.412939,22.469052,30.56129,11.598411
1972,0.015079,1.503065,2.863865,0.583752,22.69819,32.946738,12.076917
1973,0.020422,1.529068,2.861448,0.910177,22.512399,34.837435,12.97149
1974,0.02561,1.539662,3.17658,1.272083,21.732488,33.45366,12.662878
1975,0.03378,1.498734,3.154607,1.899798,19.947883,32.732323,12.662786
1976,0.037513,1.713373,2.976265,2.111121,20.345426,35.177782,13.584067
1977,0.037382,1.838332,2.333252,2.701762,19.930513,37.12398,13.922103
1978,0.030851,2.037605,2.936983,3.024126,20.0004,37.962821,13.765575
1979,0.040262,2.151906,2.930686,2.775827,20.665817,37.122274,15.039586
1980,0.052699,2.4755,2.900144,2.739169,20.235459,34.20452,15.422809
1981,0.059437,2.596283,2.757968,3.007589,19.74731,31.932206,15.907526
1982,0.050627,2.663452,3.265558,3.131148,18.356222,30.232226,15.321581
1983,0.063938,2.904414,3.52726,3.202549,17.220836,30.052216,15.894442
1984,0.080934,2.97112,3.385811,3.552531,18.393613,31.053237,17.070622
1985,0.097592,3.016233,2.970192,4.075563,17.703482,30.924732,17.478428
1986,0.107868,2.932095,3.071179,4.380109,16.591364,32.19826,17.260405
1987,0.112416,2.874884,2.634508,4.753933,17.639801,32.863733,18.008451
1988,0.106441,3.016049,2.334265,5.586968,18.448393,34.222795,18.846312
1989,0.238027,3.159357,2.837263,5.602161,19.601606,34.209296,19.069762
1990,0.258509,2.735112,3.046391,6.10435,19.603267,33.551623,19.172635
1991,0.270031,2.781797,3.015943,6.422132,20.032958,32.846032,18.99167
1992,0.271427,2.931678,2.617436,6.479206,20.713632,33.524957,19.122471
1993,0.281833,2.908172,2.891613,6.410499,21.229,33.68724,19.835148
1994,0.276132,3.027534,2.683457,6.693877,21.728067,34.557545,19.909463
1995,0.252899,3.101142,3.205307,7.075436,22.671139,34.441042,20.088727
1996,0.265909,3.156806,3.589656,7.086674,23.084647,35.674968,21.001914
1997,0.268419,3.10522,3.640458,6.596992,23.222716,36.158483,21.445411
1998,0.266722,2.92749,3.297054,7.067809,22.830226,36.817375,21.655744
1999,0.282846,2.96329,3.267575,7.610256,22.909227,37.836037,21.622544
2000,0.284851,3.008227,2.811116,7.862349,23.823977,38.265934,22.579528
2001,0.295704,2.622356,2.241858,8.028853,22.772558,38.189656,21.914268
2002,0.336421,2.700621,2.689017,8.145429,23.510081,38.225566,21.903989
2003,0.345084,2.806471,2.792539,7.959622,22.830642,38.789798,22.320928
2004,0.378106,3.008073,2.688468,8.222774,22.923061,40.226667,22.466195
2005,0.416564,3.11393,2.702942,8.16081,22.565364,40.302834,22.796543
2006,0.505519,3.26214,2.869035,8.214626,22.238738,39.823636,22.44716
2007,0.591652,3.484824,2.446389,8.458589,23.662759,39.48925,22.749466
2008,0.811795,3.851392,2.511108,8.426491,23.842953,36.90682,22.387437
2009,0.998968,3.93603,2.668824,8.35522,23.41594,34.95905,19.691205
2010,1.221889,4.405248,2.538541,8.434433,24.574754,35.488763,20.833968
2011,1.491076,4.534162,3.102852,8.268698,24.954539,34.828711,19.657784
2012,1.7085,4.491974,2.628702,8.061822,26.088582,34.011922,17.378234
2013,2.039888,4.850217,2.562382,8.244433,26.805134,34.619702,18.038633
2014,2.278971,4.992212,2.466577,8.337559,27.382833,34.874878,17.997632
2015,2.414869,4.897906,2.321177,8.336886,28.191095,35.605532,15.54887
2016,2.873864,4.913246,2.472442,8.426753,28.444983,36.016959,14.225905
2017,3.332544,4.913249,2.770011,8.418968,28.034311,36.240973,13.861721
